"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"75-84 years"	"75-84"	35	1165	3004.29
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"85+ years"	"85+"	61	415	14698.80
	"Aitkin County, MN"	"27001"	"2003"	"2003"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"< 1 year"	"1"	Suppressed	160	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	559	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"5-9 years"	"5-9"	Suppressed	762	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"10-14 years"	"10-14"	Suppressed	948	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"15-19 years"	"15-19"	Suppressed	933	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"20-24 years"	"20-24"	Suppressed	678	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"25-34 years"	"25-34"	Suppressed	1161	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"35-44 years"	"35-44"	Suppressed	1928	Suppressed
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"45-54 years"	"45-54"	11	2334	471.29 (Unreliable)
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"55-64 years"	"55-64"	20	2705	739.37
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"65-74 years"	"65-74"	34	2206	1541.25
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"75-84 years"	"75-84"	43	1225	3510.20
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"85+ years"	"85+"	50	429	11655.01
	"Aitkin County, MN"	"27001"	"2004"	"2004"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"< 1 year"	"1"	Suppressed	168	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	601	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"5-9 years"	"5-9"	Suppressed	739	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"10-14 years"	"10-14"	Suppressed	947	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"15-19 years"	"15-19"	Suppressed	925	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"20-24 years"	"20-24"	Suppressed	637	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"25-34 years"	"25-34"	Suppressed	1176	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"35-44 years"	"35-44"	Suppressed	1920	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"45-54 years"	"45-54"	Suppressed	2423	Suppressed
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"55-64 years"	"55-64"	26	2721	955.53
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"65-74 years"	"65-74"	32	2218	1442.74
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"75-84 years"	"75-84"	47	1246	3772.07
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"85+ years"	"85+"	61	441	13832.20
	"Aitkin County, MN"	"27001"	"2005"	"2005"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"< 1 year"	"1"	Suppressed	154	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	640	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"5-9 years"	"5-9"	Suppressed	723	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"10-14 years"	"10-14"	Suppressed	909	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"15-19 years"	"15-19"	Suppressed	922	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"20-24 years"	"20-24"	Suppressed	658	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"25-34 years"	"25-34"	Suppressed	1120	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"35-44 years"	"35-44"	Suppressed	1861	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"45-54 years"	"45-54"	Suppressed	2539	Suppressed
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"55-64 years"	"55-64"	17	2795	608.23 (Unreliable)
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"65-74 years"	"65-74"	41	2309	1775.66
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"75-84 years"	"75-84"	51	1269	4018.91
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"85+ years"	"85+"	62	458	13537.12
	"Aitkin County, MN"	"27001"	"2006"	"2006"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	171	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	656	Suppressed
	"Aitkin County, MN"	"27001"	"2007"	"2007"	"5-9 years"	"5-9"	Suppressed	715	Suppressed
